"1. Para empezar ¿Cuántos cursos de educación permanente realizó el año pasado 2023?","2. ¿Desde qué centro/facultad realizó el/los cursos? (puede marcar todas las que correspondan en caso de haber realizado dos cursos o más en diferentes centros)","Centro/Facultad II","Centro/Facultad III","Centro/Facultad IV","2a. Aclaración Otro","3. ¿Qué tipo de curso fue? (si fueron varios cursos, tome en cuenta el último curso que realizó)","4. ¿Cuánto horas/tiempo duró el curso?","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Herramientas de video-conferencia (Zoom por ejemplo)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Presentaciones (ppt, pdf, etc.)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Herramientas interactivas (encuestas en vivo, foros, etc.)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Trabajo colaborativo]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Formularios de auto-evaluación]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Evaluación entre pares (corrección de trabajos entre los participantes)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Evaluación automática (por ejemplo, prueba/parcial por formulario en EVA)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Rúbrica docente (Tabla que indica los criterios que se evalúan y los niveles de calidad alcanzados)]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Talleres]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Estudios de casos ]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Mesa redonda (por ejemplo charlas con invitados)]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Ateneos]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Otra]","7. Si tuviera que definir el curso en términos generales, diría que...","8. ¿El último curso que realizó formaba parte de algún posgrado (diploma/maestría/doctorado)?","9. ¿Recibe información de Educación Permanente sobre actividades y/o cursos?","10. ¿Por cuál medio se enteró de la existencia del último curso(s) que realizó? (Marqué hasta dos opciones)","Medio II","Medio III","Medio IV","11. ¿Con que frecuencia se entera de las novedades de la Udelar y de Educación Permanente?","12. Sobre el último curso, en términos generales, en una escala de uno a diez, donde 1 es muy malo y diez excelente ¿Cómo evaluaría el curso?","13. ¿Considera que los contenidos del curso fueron útiles para Ud.?","14. El curso ¿Contribuyó positivamente en su trayectoria laboral? ","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15a Los cursos de Educación Permanente guardan mucha relación con las demandas del mundo laboral]","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15b. Los cursos de Educación Permanente son útiles para su profesión]","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15c. Los docentes se preocupan por ofrecer contenidos y formación acorde a las exigencias del mercado laboral cuando proponen cursos]","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15d. La Udelar se víncula con el mundo laboral a través de los cursos de Educación Permanente]","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15e. Los cursos atienden necesidades prácticas]","16. Si tuviera que elegir entre un curso virtual o presencial...","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Coursera]","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Domestika]","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Udemy]","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Edx]","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Otra]","17a. Aclaración ""Otra""","18. Le vamos a realizar algunas preguntas sobre Ud. para poder ordenar a los entrevistados.... ¿Cual es su Sexo/Género?","19. ¿Cuantos años tiene cumplidos a la fecha? (Edad en número)","20. ¿En qué departamento vive? (en caso de alumno extranjero marcar ""Otro país"" y especificar el país)","20a. Aclaración otro país","21. ¿En qué localidad o barrio reside?","22. ¿Cuántas horas a la semana trabaja? (Horas en números)","23. ¿En qué tipo de institución trabaja? (si trabaja en más de un lugar, marque el que considere su principal fuente de ingreso) ","26. ¿Cuál es su máximo nivel de estudios alcanzado?","27. ¿En que año ingreso en la Universidad y/o centro de estudios terciarios? (año en números)","28. Y ¿En que año egreso? (año en números, si no egreso poner 0)","29. Para cerrar, ¿Sus padres (madre y/o padre) tienen estudios universitarios y/o estudios terciarios en otra institución (IPA, Magisterio, UTU terciario, etc.)?"
"Un curso","Derecho","N/C","N/C","N/C","N/C","Presencial","No lo recuerdo","No","Si","No","No","No","No","No","No","No","Si","No","No","No","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Cartelería institucional del centro/facultad","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",10,"Sí, fueron útiles","No contribuyó en nada","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Elegiría un curso 100% virtual (sin instancias presenciales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Mujer",25,"Montevideo","N/C","Parque Rodó",30,"Pública","12. Universidad grado completo",2017,2023,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Dos cursos","Derecho","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","Si","Si","Si","Si","Si","No","No","S/D","Si","Si","No","No","No","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","Mail de comunicaciones institucional del centro/facultad","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",9,"Sí, fueron muy útiles","Sí, contribuyó mucho","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Varón",39,"Montevideo","N/C","Montevideo ",8,"Privada","12. Universidad grado completo",2003,2021,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","FIC","N/C","N/C","N/C","N/C","Presencial","15 hs o menos","S/D","Si","S/D","Si","S/D","S/D","S/D","S/D","S/D","Si","S/D","S/D","S/D","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","Si, era un curso de posgrado (Diploma, Maestría, Doctorado)","Si, recibo frecuentemente información","Mail de comunicaciones institucional del centro/facultad","A través un conocido y/o amigo","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",7,"Sí, fueron útiles","Ni uno ni otro","Más o menos","De acuerdo","Más o menos","Más o menos","Más o menos","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco y realicé al menos un curso el año pasado","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","S/D","N/C","Mujer",37,"Montevideo","N/C","Larrañaga",40,"Pública","17. Maestría incompleto",2015,2020,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Tres cursos","FIC","Humanidades","N/C","N/C","N/C","Presencial","Entre 30-45 hs","No","Si","No","Si","No","Si","No","No","Si","Si","No","Si","S/D","El curso fue muy expositivo, con muy escasas actividades interactivas entre los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","Mail de comunicaciones institucional del centro/facultad","A través un conocido y/o amigo","N/C","Ocasionalmente investigo si hay algo que me interese",10,"Sí, fueron muy útiles","Sí, contribuyó en algo","Más o menos","Totalmente de acuerdo","Totalmente de acuerdo","Más o menos","Más o menos","Elegiría un curso 100% presencial (sin instancias virtuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco y realicé al menos un curso el año pasado","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Mujer",22,"Montevideo","N/C","Reducto",50,"Otra forma de contrato","11. Universidad grado incompleto",2021,0,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Un curso","FIC","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","No","Si","No","Si","Si","No","No","No","No","No","No","No","No","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No recuerdo / No lo sé","No recibo ningún tipo de información","Mail de comunicaciones institucional del centro/facultad","A través un conocido y/o amigo","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",9,"Sí, fueron útiles","Sí, contribuyó en algo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Mujer",32,"Canelones","N/C","Solymar",30,"Cuenta propia sin inversión (uni-persona, consultor)","12. Universidad grado completo",2017,2024,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","Humanidades","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","No","Si","Si","Si","No","No","S/D","No","Si","Si","Si","No","No","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",7,"Sí, fueron útiles","Sí, contribuyó en algo","NS/NC","Totalmente de acuerdo","NS/NC","De acuerdo","De acuerdo","Elegiría un curso 100% presencial (sin instancias virtuales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","S/D","N/C","Mujer",50,"Montevideo","N/C","Aguada",31,"Pública","13. Terciarios no universitarios (Formación Docente / Magisterio / etc.) incompleto",2020,0,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Dos cursos","Ingeniería","Música","N/C","N/C","N/C","Presencial","Entre 15-30 hs","No","Si","Si","Si","Si","No","No","No","Si","Si","Si","No","No","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","Si, era un curso de posgrado (Diploma, Maestría, Doctorado)","Si, recibo frecuentemente información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","Mail de comunicaciones institucional del centro/facultad","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",10,"Sí, fueron muy útiles","Sí, contribuyó en algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","Si, conozco y realicé al menos un curso el año pasado","No, no conozco esta plataforma","N/C","Varón",64,"Montevideo","N/C","Belvedere",40,"Pública","19. Doctorado incompleto",1978,1998,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","Sociales","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","Si","Si","S/D","Si","S/D","S/D","S/D","S/D","Si","S/D","S/D","S/D","S/D","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","Mail de comunicaciones institucional del centro/facultad","N/C","N/C","Una vez cada tanto veo si hay novedades de la Universidad",9,"Sí, fueron muy útiles","Sí, contribuyó mucho","Más o menos","De acuerdo","Más o menos","De acuerdo","Más o menos","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco y realicé al menos un curso el año pasado","Si, conozco y realicé al menos un curso el año pasado","Si, conozco y realicé al menos un curso el año pasado","Si, conozco y realicé al menos un curso el año pasado","S/D","N/C","Mujer",46,"Montevideo","N/C","Cordón",40,"Pública","18. Maestría completo",1996,2001,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Tres cursos","Psicología","Otro (aclarar abajo)","N/C","N/C","FCS","Presencial","Entre 15-30 hs","S/D","Si","Si","Si","S/D","Si","S/D","S/D","Si","Si","Si","S/D","S/D","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No recuerdo / No lo sé","Si, recibo frecuentemente información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","Mail de comunicaciones institucional del centro/facultad","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",10,"Sí, fueron muy útiles","Sí, contribuyó en algo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Elegiría un curso 100% presencial (sin instancias virtuales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Mujer",35,"Montevideo","N/C","Ciudad Vieja",30,"ONG / OSC","12. Universidad grado completo","2007 y 2021",2015,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","FIC","N/C","N/C","N/C","N/C","Virtual","No lo recuerdo","Si","Si","Si","S/D","Si","S/D","S/D","S/D","S/D","Si","S/D","S/D","S/D","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","Si, era un curso de posgrado (Diploma, Maestría, Doctorado)","Si, recibo frecuentemente información","Mail de comunicaciones institucional del centro/facultad","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",8,"Sí, fueron útiles","Sí, contribuyó en algo","De acuerdo","Más o menos","De acuerdo","Más o menos","De acuerdo","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","No, no conozco esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","S/D","S/D","Si, conozco y realicé al menos un curso el año pasado","INSTITUTO MEXICO DE CONSERVACION","Varón",38,"Montevideo","N/C","Goes",40,"Pública","17. Maestría incompleto",2015,2022,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Un curso","Humanidades","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","Si","Si","No","Si","No","No","No","No","No","Si","No","No","No","El curso fue muy expositivo, con muy escasas actividades interactivas entre los alumnos","No, fue un curso exclusivo de Educación Permanente","No recibo ningún tipo de información","A través un conocido y/o amigo","N/C","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",8,"Sí, fueron útiles","Sí, contribuyó en algo","Más o menos","Totalmente de acuerdo","Más o menos","De acuerdo","De acuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Mujer",25,"Montevideo","N/C","Palermo",32,"ONG / OSC","12. Universidad grado completo",2017,2021,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","Música","N/C","N/C","N/C","N/C","Presencial","Más de 45 hs","S/D","Si","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","Si","S/D","S/D","El curso fue muy expositivo, con muy escasas actividades interactivas entre los alumnos","No, fue un curso exclusivo de Educación Permanente","Recibo poca o muy poca información","Redes sociales electrónicas (Facebook, Twitter, etc.)","N/C","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",9,"Sí, fueron muy útiles","Sí, contribuyó en algo","Más o menos","De acuerdo","Más o menos","Más o menos","De acuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","S/D","S/D","S/D","S/D","S/D","N/C","Varón",36,"Canelones","N/C","N/C",0,"No estoy trabajando actualmente","6. Bachillerato UTU/Completo",2010,"S/D","No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","FIC","N/C","N/C","N/C","N/C","Virtual","Entre 15-30 hs","Si","Si","Si","Si","S/D","S/D","Si","S/D","Si","Si","Si","S/D","S/D","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Mail de comunicaciones institucional del centro/facultad","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",10,"Sí, fueron muy útiles","Sí, contribuyó en algo","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","S/D","N/C","Varón Trans",29,"Montevideo","N/C","Parque Batlle",42,"Privada","11. Universidad grado incompleto",2023,0,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","Sociales","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","No","Si","No","No","Si","No","No","No","No","No","No","No","No","El curso fue muy expositivo, con muy escasas actividades interactivas entre los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","A través un conocido y/o amigo","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",10,"Sí, fueron muy útiles","Sí, contribuyó mucho","Más o menos","De acuerdo","Más o menos","Más o menos","En desacuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco y realicé al menos un curso el año pasado","No, no conozco esta plataforma","N/C","Varón",23,"Montevideo","N/C","Reducto",30,"Pública","17. Maestría incompleto",2019,2024,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","Humanidades","CURE","N/C","N/C","N/C","Virtual","Entre 15-30 hs","Si","Si","Si","Si","S/D","S/D","S/D","S/D","Si","S/D","Si","S/D","S/D","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Mail de comunicaciones institucional del centro/facultad","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",8,"Sí, fueron muy útiles","Sí, contribuyó en algo","Más o menos","De acuerdo","NS/NC","NS/NC","NS/NC","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","S/D","Si, conozco y realicé al menos un curso el año pasado","Si, conozco y realicé al menos un curso el año pasado","Agradezco su consulta. Como aporte, y espero no lo tomen a mal, quería avisar que el formulario tiene varias faltas de ortografía.","Mujer",46,"Rocha","N/C","La Paloma",30,"Pública","17. Maestría incompleto",1999,2004,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Un curso","FIC","N/C","N/C","N/C","N/C","Virtual","No lo recuerdo","Si","Si","S/D","S/D","S/D","S/D","S/D","S/D","Si","Si","No","No","No","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo algo de información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",9,"Sí, fueron muy útiles","Sí, contribuyó en algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Elegiría un curso 100% virtual (sin instancias presenciales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","ninguna","Varón",32,"Montevideo","N/C","Buceo",40,"Pública","12. Universidad grado completo",2014,2023,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Un curso","FIC","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","No","No","No","No","No","Si","No","No","Si","No","No","No","No","El curso fue muy expositivo, con muy escasas actividades interactivas entre los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo bastante información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","Redes sociales electrónicas (Facebook, Twitter, etc.)","Mail de comunicaciones institucional del centro/facultad","N/C","Ocasionalmente investigo si hay algo que me interese",3,"Poco útiles","Contribuyó poco","Más o menos","De acuerdo","De acuerdo","Más o menos","Más o menos","Elegiría un curso 100% presencial (sin instancias virtuales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Varón",32,"Montevideo","N/C","Buceo",40,"Privada","S/D",2012,2023,"S/D"
"Un curso","Sociales","N/C","N/C","N/C","N/C","Virtual","No lo recuerdo","Si","Si","S/D","Si","S/D","S/D","S/D","S/D","S/D","Si","Si","S/D","S/D","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","No recibo ningún tipo de información","A través un conocido y/o amigo","N/C","N/C","N/C","Nunca me fijo si hay algo que pueda interesarme",9,"Sí, fueron útiles","Sí, contribuyó en algo","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","Elegiría un curso 100% virtual (sin instancias presenciales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Varón",53,"Otro País","Brasil","Río de Janeiro",40,"Privada","12. Universidad grado completo",1990,1994,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
